XID,Product_Name,Product_Number,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Description,Summary,Prod_Image,Catalog_Information,Category,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Comp_Cert,Product_Data_Sheet,Safety_Warnings,Additional_Info,Distibutor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Currency,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,Distributor_View_Only,Operation,Carrier_Information,Item_Weight,Warranty,Battery,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,Last_Updated_Date
5905374,"Large Window Bag with Hard Candy","",,,,,"This recloseable window bag is filled with hard candy and comes with a 1-color hot stamp of your logo or a full-color gift card with a gold bow. An elegant way to show your clients you care, and Great food gift idea for the holiday or Christmas.  Available in multiple colors and designs. Can be filled with hard candy or a variety of foil candy.  Hot stamped with Gold or Silver only.  Please call for other fills. Overall size: 5"" x 7"" x 2 1/2"".",,"http://media.asicdn.com/images/jpgb/6870000/6877028.jpg",,"Bags-Food,Candy-Hard Type,Candy-General,Food Gifts-General",,"","","Dimension","Length:2.25:in;Width:5.125:in;Height:7.125:in","Bag",,,"CHINA",,,,,,,"Hot Stamping",,"","Black, Gold, Silver","","Y","2"" x 2"", 2"" x 2.75""","",,,"Y",,"7,10","Y","1:,5:	",,"","100:per Carton","14:in;14:in;14:in","",,"","N","",,,,,,"Large Window Bag with Hard Candy",,,"100","250",,,,,,,,,"4.60","4.55",,,,,,,,,"R","R",,,,,,,,,,"1-color hot stamp or greeting card with bow.",,"USD",,"List","Hot Stamping","IMMD:Hot Stamping",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5606045,"Window Bag with Hard Candy - Gold","",,,,,"This recloseable window bag is filled with hard candy and comes with a 1-color hot stamp of your logo or a full-color gift card with a gold bow. An elegant way to show your clients you care, and a great food gift idea for the holiday or Christmas.  Available in multiple colors. Can be filled with hard candy or foil candy - see pricing.  Hot stamped with Gold or Silver only.  Please call for other filling options. Overall size: 4"" x 6"" x 2 1/2"".",,"http://media.asicdn.com/images/jpgb/20760000/20769537.jpg",,"Bags-Food,Candy-Hard Type,Food Gifts-General",,"","","Dimension","Length:1.625:in;Width:3.875:in;Height:6:in","",,,"CHINA",,,,,,,"Hot Stamping",,"","Black, Gold, Silver","","Y","2"" x 2"", 2"" x 2.5""","",,,"Y",,"7,10","Y","1:,5:	",,"","150:per Carton","14:in;14:in;14:in","",,"","N","",,,,,,"Window Bag with Hard Candy - Gold",,,"100","250",,,,,,,,,"3.35","3.30",,,,,,,,,"R","R",,,,,,,,,,"1-color hot stamp or greeting card with bow.",,"USD",,"List","Hot Stamping","IMMD:Hot Stamping",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5606190,"","",,,,,"",,"",,"",,"","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6858798,"The Grand Tin with Starlite Mints, Jelly Beans & Hard Candy","",,,,,"This Grand Tin offers an abundance of Starlite Mints, Jelly Beans, and Hard Candy, and comes printed with a 1-color direct imprint on the lid (solid-color tins), or a greeting card (designer tins). You can also add a 4-color process laminated decal to the lid of any of our solid-color tins. Can be filled with Starlite Mints, Jelly Beans, Hard Candy, or a variety of breath mints, breath fresheners, and candy.  Please call for additional filling options.  These Christmas tins are great as a holiday or corporate food gift.  Overall size: 1 13/16"" x 1 1/16"".",,"http://media.asicdn.com/images/jpgb/7410000/7411468.jpg",,"Candy-Hard Type,Candy-Mints,Food Gifts-Assortments,JELLY BEANS,TINS",,"","","Dimension","Length:1 13/16:in;Width:1 1/16:in","Circular",,,"CHINA",,,,,,,"Direct Imprint, Four Color Process",,"","Any color","","Y","5"", 6""","Decal, Direct imprint",,,"Y",,"7","Y","1:,5:	",,"","25:per Carton","17.625:in;15.125:in;16.625:in","35:lbs",,"","N","",,,,,,"The Grand Tin with Starlite Mints, Jelly Beans & Hard Candy",,,"25","50","100",,,,,,,,"17.95","17.85","17.75",,,,,,,,"R","R","R",,,,,,,,,"1-color direct imprint on lid with solid color tins or greeting card with designer tins.",,"USD",,"List","Direct Imprint, Four Color Process","IMMD:Direct Imprint, Four Color Process",,"Imprint Method Charge","Per Order","Required","1",,,,,,,,,,"50.00",,,,,,,,,,"Z",,,,,,,,,,"Four color process decal on holiday christmas gift tin with candy",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5905378,"","",,,,,"",,"",,"",,"","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5606128,"The Grand Tin with Starlite Mints, Jelly Beans & Hard Candy","",,,,,"This Grand Tin offers an abundance of Starlite Mints, Jelly Beans, and Hard Candy, and comes printed with a 1-color direct imprint on the lid (solid-color tins), or a greeting card (designer tins). You can also add a 4-color process laminated decal to the lid of any of our solid-color tins. Other fills: Starlite Mints, Jelly Beans, Hard Candy, or a variety of mints and candy.  Please call for other available corporate gift tin fills.  A great value. Overall size: 1 13/16"" x 6 11/16"".",,"http://media.asicdn.com/images/jpgb/7010000/7014397.jpg",,"Candy-Hard Type,Candy-Mints,Food Gifts-Assortments,JELLY BEANS",,"White","","Dimension","Length:1 13/16:in;Width:6 11/16:in","Round",,,"CHINA",,,,,,,"Direct Imprint, Four Color Process",,"","Any color","","Y","5"", 6""","Direct Imprint on tin, Laminated Decal on tin",,,"Y",,"7","Y","1:,5:	",,"","28:per Carton","","42:lbs",,"","N","",,,,,,"The Grand Tin with Starlite Mints, Jelly Beans & Hard Candy",,,"25","50","100",,,,,,,,"17.95","17.85","17.75",,,,,,,,"R","R","R",,,,,,,,,"1-color direct imprint with solid-color tins or greeting card with designer tins.",,"USD",,"List","Four Color Process, Direct Imprint","IMMD:Four Color Process, Direct Imprint",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"0.75",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5712637,"Small Pillow Pack with Jolly Ranchers Hard Candy","",,,,,"Small crystal clear pillow pack with jolly ranchers hard candy and a 4-color process inserted image. These can be filled with a variety ofpo candy. Please call for other filling options. Overall size: 2"" x 3/4"" x 3"".",,"http://media.asicdn.com/images/jpgb/20770000/20772764.jpg",,"Candy-Hard Type",,"Clear","","Dimension","Length:2:in;Width:3/4:in;Height:3:in","Rectangle",,,"CHINA",,,,,,,"Four Color Process",,"","Any color","","Y","2.8"" x 1.9""","",,,"Y",,"7","Y","1:,5:	",,"Case","500:per Case","14:in;14:in;14:in","22:lbs",,"","N","",,,,,,"Pillow Pack with Jolly Ranchers",,,"250","500","1000",,,,,,,,"0.92","0.90","0.88",,,,,,,,"R","R","R",,,,,,,,,"4 color printing on card insert",,"USD",,"List","Four Color Process","IMMD:Four Color Process",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"30.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6860273,"","",,,,,"",,"",,"",,"","","","","",,,"CHINA",,,,,,,"",,"","","","","","",,,"Y",,"","","",,"","","","",,"","N","",,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"USD",,"List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
5905377,"Window Bag with Hard Foil Candy - Patriotic - 4th of July","",,,,,"This recloseable window bag is filled with Hard Candy and comes with a 1-color hot stamp of your logo or a full-color gift card with a gold bow. An elegant way to show your clients you care, and perfect for the holiday season. Available in multiple colors and designs. Can be filled foil candy or with a variety of candy - see pricing.  Hot stamped with Gold or Silver only.  Please call for other fills. Overall size: 5"" x 7"" x 2 1/2"".  Great for 4th of July.",,"http://media.asicdn.com/images/jpgb/6870000/6877056.jpg",,"Bags-Food,Candy-Hard Type,Food Gifts-General",,"Multi color","","Dimension","Length:2.25:in;Width:5.125:in;Height:7.125:in","",,,"CHINA",,,,,,,"Hot Stamping",,"","Black, Gold, Silver","","Y","2"" x 2"", 2"" x 2.75""","",,,"Y",,"7,10","Y","1:,5:	",,"","100:per Carton","14:in;14:in;14:in","",,"","N","",,,,,,"Large Window Bag with Hard Candy - Foil Candy - Patriotic",,,"100","250",,,,,,,,,"4.60","4.55",,,,,,,,,"R","R",,,,,,,,,,"1-color hot stamp or greeting card with bow.",,"USD",,"List","Hot Stamping","IMMD:Hot Stamping",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"25.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
6844152,"Large Promo Candy Pack with Jolly Ranchers","",,,,,"This clear cellophane bag comes filled with jolly ranchers and is printed with a 4-color process decal. These promo packs can be filled with jolly ranchers or a variety of hard candy.  Please call for additional filling options. Overall size: 4"" x 3"".",,"http://media.asicdn.com/images/jpgb/20940000/20949870.jpg",,"Candy-Hard Type,Candy-General",,"Clear","","Dimension","Length:4:in;Width:3:in","Rectangle",,,"CHINA",,,,,,,"Four Color Process",,"","Any color","","Y","2.08"" x 1.58""","",,,"Y",,"7","Y","1:,5:	",,"Cellophane Bag, Case","500:per Case","14:in;14:in;14:in","38:lbs",,"","N","",,,,,,"Large Promo Candy Pack with Jolly Ranchers",,,"300","600","1200",,,,,,,,"0.99","0.96","0.91",,,,,,,,"R","R","R",,,,,,,,,"4-color process decal.",,"USD",,"List","Four Color Process","IMMD:Four Color Process",,"Set-up Charge","Per Order","Required","1",,,,,,,,,,"60.00",,,,,,,,,,"Z",,,,,,,,,,"",,,,,,,,,,,,,,"N",,,,,,"Promotional","N",,,"Y","None",,,,
